name;image;category;Country;role;description
Zarifa Ghafari;https://c.files.bbci.co.uk/690D/production/_109139862_zarifa_ghafari_300.jpg;leadership;Afghanistan;Mayor;At 26, Zarifa Ghafari is one of Afghanistan's first female mayors. The country's president appointed her mayor of Maidan Wardag, where support for the Taliban is widespread. She took the job despite it being too dangerous for her to live there - her office was mobbed by angry men on her first day. 
Raja Meziane;https://c.files.bbci.co.uk/EB36/production/_109141206_raja_meziane_300.jpg;creativity;Algeria;Singer ;Singer Raja Meziane's political music video Allo le Système! has been viewed more than 35 million times on YouTube. Her anti-government songs tackling social injustice, alleged corruption and inequality have seen her forced into exile from Algeria.
Mabel Bianco;https://c.files.bbci.co.uk/4EF6/production/_109141202_mabel_bianco_300.jpg;leadership;Argentina;Doctor;Feminist medical doctor Mabel Bianco has spent four decades putting women's health, reproductive rights, abortion, and HIV/AIDS on the public policy agenda in Argentina.
Tayla Harris;https://c.files.bbci.co.uk/9D16/production/_109141204_tayla_harris_300.jpg;sport;Australia;Footballer/boxer;Tayla Harris is an Australian rules footballer playing for Carlton Football Club in the AFL Women's league, and a professional boxer.
Jasmin Akter;https://c.files.bbci.co.uk/D814/production/_109161355_jasmin_akter_300.jpg;sport;Bangladesh;Cricketer;Jasmin is Rohingya, described by the UN as one of the most persecuted minorities in the world. She was born in a refugee camp in Bangladesh just after her father died.
Tabata Amaral;https://c.files.bbci.co.uk/9956/production/_109145293_tabata_amaral_300.jpg;leadership;Brazil;Congresswoman;Tabata Amaral, one of Brazil's youngest congresswomen, came to national attention this year when a video of her grilling the country's education minister went viral. 
Djamila Ribeiro;https://c.files.bbci.co.uk/AA71/production/_109133634_djamila_ribeiro_300.jpg;identity;Brazil;Writer/equality activist;Writer Djamila Ribeiro is one of the most influential figures in the Afro-Brazilian women's rights movement.
Autumn Peltier;https://c.files.bbci.co.uk/3541/production/_109133631_autumn_peltier_300.jpg;earth;Canada;Clean water advocate;Autumn Peltier has been campaigning for clean drinking water for indigenous people in Canada since she was just eight years old.
Veronique Thouvenot;https://c.files.bbci.co.uk/E031/production/_109139375_veronique_thouvenot_300.jpg;knowledge;Chile;Health expert;Veronique Thouvenot leads the Zero Mothers Die initiative.
Huang Wensi;https://c.files.bbci.co.uk/7246/production/_109145292_huang_wensi_300.jpg;sport;China;Professional boxer;Huang Wensi, 29, is one of a small but growing number of female boxers in China.
Charlene Ren;https://c.files.bbci.co.uk/8361/production/_109133633_charlene_ren_300.jpg;earth;China;Clean water advocate;As a graduate student, Charlene Ren created MyH2O, a solution to the lack of clean drinking water in rural China. 
Francia Marquez;https://c.files.bbci.co.uk/1536D/production/_109139868_francia_marquez_300.jpg;earth;Colombia;Environmentalist;A formidable leader of the Afro-Colombian community, Francia Márquez spearheaded a 10-day, 350-mile women's march to the country's capital, to take back their ancestral land from illegal gold miners.
