Rank;Economy;Score
70;Albania;0.701
128;Algeria;0.632
126;Angola;0.637
35;Argentina;0.734
105;Armenia;0.668
36;Australia;0.733
37;Austria;0.733
96;Azerbaijan;0.675
40;Bahamas (the);0.728
123;Bahrain;0.644
64;Bangladesh;0.704
24;Barbados;0.744
34;Belarus;0.734
19;Belgium;0.753
103;Belize;0.668
129;Benin;0.625
118;Bhutan;0.646
22;Bolivia (Plurinational State of);0.749
55;Botswana;0.71
85;Brazil;0.686
88;Brunei Darussalam;0.684
43;Bulgaria;0.722
114;Burkina Faso;0.651
23;Burundi;0.748
133;Cote d'Ivoire;0.606
109;Cambodia;0.662
90;Cameroon;0.682
30;Canada;0.74
50;Cabo Verde;0.717
142;Chad;0.58
73;Chile;0.698
91;China;0.682
42;Colombia;0.725
38;Costa Rica;0.732
59;Croatia;0.708
29;Cuba;0.74
100;Cyprus;0.671
81;Czech Republic;0.687
14;Denmark;0.767
86;Dominican Republic (the);0.686
33;Ecuador;0.738
136;Egypt;0.599
62;El Salvador;0.706
21;Estonia;0.749
124;Ethiopia;0.64
121;Fiji;0.645
3;Finland;0.85
15;France;0.761
98;Gambia (the);0.674
82;Georgia;0.687
11;Germany;0.779
63;Ghana;0.704
87;Greece;0.685
106;Guatemala;0.667
131;Guinea;0.618
66;Guyana;0.702
80;Honduras;0.688
99;Hungary;0.672
1;Iceland;0.881
108;India;0.664
92;Indonesia;0.681
141;Iran (Islamic Republic of);0.58
5;Ireland;0.807
53;Israel;0.712
41;Italy;0.726
65;Jamaica;0.703
101;Japan;0.67
140;Jordan;0.593
47;Kazakhstan;0.719
48;Kenya;0.719
115;South Korea;0.651
117;Kuwait;0.646
76;Kyrgyz Republic;0.693
52;Lao People's Democratic Republic (the);0.713
20;Latvia;0.752
138;Lebanon;0.598
61;Lesotho;0.706
112;Liberia;0.652
31;Lithuania;0.74
32;Luxembourg;0.738
69;Republic of North Macedonia;0.701
74;Madagascar;0.698
68;Malawi;0.701
111;Malaysia;0.655
113;Maldives;0.652
137;Mali;0.599
104;Malta;0.668
132;Mauritania;0.613
120;Mauritius;0.646
71;Mexico;0.699
26;Moldova;0.742
56;Mongolia;0.709
79;Montenegro;0.689
139;Morocco;0.593
27;Mozambique;0.741
16;Namibia;0.76
110;Nepal;0.658
13;Netherlands (the);0.776
10;New Zealand;0.782
12;Nicaragua;0.776
125;Nigeria;0.638
2;Norway;0.85
135;Oman;0.604
144;Pakistan;0.559
44;Panama;0.722
107;Paraguay;0.666
89;Peru;0.683
7;Philippines (the);0.79
51;Poland;0.715
39;Portugal;0.731
122;Qatar;0.645
77;Romania;0.693
75;Russian Federation (the);0.694
6;Rwanda;0.794
134;Saudi Arabia;0.605
72;Senegal;0.698
45;Serbia;0.72
54;Singapore;0.711
97;Slovak Republic;0.675
9;Slovenia;0.784
17;South Africa;0.759
25;Spain;0.742
84;Sri Lanka;0.686
94;Suriname;0.678
102;Swaziland;0.67
4;Sweden;0.823
8;Switzerland;0.785
143;Syrian Arab Republic;0.568
95;Tajikistan;0.675
49;Tanzania, United Republic of;0.718
60;Thailand;0.706
46;Trinidad and Tobago;0.72
127;Tunisia;0.634
130;Turkey;0.624
58;Uganda;0.708
67;Ukraine;0.702
119;United Arab Emirates (the);0.646
18;United Kingdom;0.758
28;United States;0.74
93;Uruguay;0.679
78;Venezuela (Bolivarian Republic of);0.691
83;Viet Nam;0.687
145;Yemen;0.484
116;Zambia;0.65
57;Zimbabwe;0.709
