country;score
Albania;0.769
Algeria;0.634
Angola;0.66
Argentina;0.746
Armenia;0.684
Australia;0.731
Austria;0.744
Azerbaijan;0.687
Bahamas (the);0.72
Bahrain;0.629
Bangladesh;0.726
Barbados;0.749
Belarus;0.746
Belgium;0.75
Belize;0.671
Benin;0.658
Bhutan;0.635
Bolivia (Plurinational State of);0.734
Bosnia and Herzegovina;0.712
Botswana;0.709
Brazil;0.691
Brunei Darussalam;0.686
Bulgaria;0.727
Burkina Faso;0.635
Burundi;0.745
Cabo Verde;0.725
Cambodia;0.694
Cameroon;0.686
Canada;0.772
Chad;0.596
Chile;0.723
China;0.676
Colombia;0.758
Congo (the Democratic Republic of the);0.578
Costa Rica;0.782
Cote d'Ivoire;0.606
Croatia;0.72
Cuba;0.746
Cyprus;0.692
Czech Republic;0.706
Denmark;0.782
Dominican Republic (the);0.7
Ecuador;0.729
Egypt;0.629
El Salvador;0.706
Estonia;0.751
Swaziland;0.703
Ethiopia;0.705
Fiji;0.678
Finland;0.832
France;0.781
Gambia (the);0.628
Georgia;0.708
Germany;0.787
Ghana;0.673
Greece;0.701
Guatemala;0.666
Guinea;0.642
Honduras;0.722
Hungary;0.677
Iceland;0.877
India;0.668
Indonesia;0.7
Iran (Islamic Republic of);0.584
Iraq;0.53
Ireland;0.798
Israel;0.718
Italy;0.707
Jamaica;0.735
Japan;0.652
Jordan;0.623
Kazakhstan;0.71
Kenya;0.671
South Korea;0.672
Kuwait;0.65
Kyrgyz Republic;0.689
Lao People's Democratic Republic (the);0.731
Latvia;0.785
Lebanon;0.599
Lesotho;0.695
Liberia;0.685
Lithuania;0.745
Luxembourg;0.725
Republic of North Macedonia;0.711
Madagascar;0.719
Malawi;0.664
Malaysia;0.677
Maldives;0.646
Mali;0.621
Malta;0.693
Mauritania;0.614
Mauritius;0.665
Mexico;0.754
Moldova;0.757
Mongolia;0.706
Montenegro;0.71
Morocco;0.605
Mozambique;0.723
Myanmar;0.665
Namibia;0.784
Nepal;0.68
Netherlands (the);0.736
New Zealand;0.799
Nicaragua;0.804
Nigeria;0.635
Norway;0.842
Oman;0.602
Pakistan;0.564
Panama;0.73
Papua New Guinea;0.635
Paraguay;0.683
Peru;0.714
Philippines (the);0.781
Poland;0.736
Portugal;0.744
Qatar;0.629
Romania;0.724
Russian Federation (the);0.706
Rwanda;0.791
Saudi Arabia;0.599
Senegal;0.684
Serbia;0.736
Sierra Leone;0.668
Singapore;0.724
Slovak Republic;0.718
Slovenia;0.743
South Africa;0.78
Spain;0.795
Sri Lanka;0.68
Suriname;0.707
Sweden;0.82
Switzerland;0.779
Syrian Arab Republic;0.567
Tajikistan;0.626
Tanzania, United Republic of;0.713
Thailand;0.708
Timor-Leste;0.662
Togo;0.615
Trinidad and Tobago;0.756
Tunisia;0.644
Turkey;0.635
Uganda;0.717
Ukraine;0.721
United Arab Emirates (the);0.655
United Kingdom;0.767
United States;0.724
Uruguay;0.737
Vanuatu;0.638
Venezuela (Bolivarian Republic of);0.713
Viet Nam;0.7
Yemen;0.494
Zambia;0.731
Zimbabwe;0.73
