"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WOMENPOLVOICE","POLREPRES","PC","A","2015",26.7,
"AUS","WOMENPOLVOICE","POLREPRES","PC","A","2017",28.7,
"AUS","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"AUT","WOMENPOLVOICE","POLREPRES","PC","A","2015",30.6,
"AUT","WOMENPOLVOICE","POLREPRES","PC","A","2017",30.6,
"AUT","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"BEL","WOMENPOLVOICE","POLREPRES","PC","A","2015",39.3,
"BEL","WOMENPOLVOICE","POLREPRES","PC","A","2017",38,
"BEL","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"CAN","WOMENPOLVOICE","POLREPRES","PC","A","2015",26,
"CAN","WOMENPOLVOICE","POLREPRES","PC","A","2017",26.3,
"CAN","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"CZE","WOMENPOLVOICE","POLREPRES","PC","A","2015",20,
"CZE","WOMENPOLVOICE","POLREPRES","PC","A","2017",20,
"CZE","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"DNK","WOMENPOLVOICE","POLREPRES","PC","A","2015",37.4,
"DNK","WOMENPOLVOICE","POLREPRES","PC","A","2017",37.4,
"DNK","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"FIN","WOMENPOLVOICE","POLREPRES","PC","A","2015",41.5,
"FIN","WOMENPOLVOICE","POLREPRES","PC","A","2017",42,
"FIN","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"FRA","WOMENPOLVOICE","POLREPRES","PC","A","2015",26.2,
"FRA","WOMENPOLVOICE","POLREPRES","PC","A","2017",25.8,
"FRA","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"DEU","WOMENPOLVOICE","POLREPRES","PC","A","2015",36.5,
"DEU","WOMENPOLVOICE","POLREPRES","PC","A","2017",37,
"DEU","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"GRC","WOMENPOLVOICE","POLREPRES","PC","A","2015",19.7,
"GRC","WOMENPOLVOICE","POLREPRES","PC","A","2017",18.3,
"GRC","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"HUN","WOMENPOLVOICE","POLREPRES","PC","A","2015",10.1,
"HUN","WOMENPOLVOICE","POLREPRES","PC","A","2017",10.1,
"HUN","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"ISL","WOMENPOLVOICE","POLREPRES","PC","A","2015",41.3,
"ISL","WOMENPOLVOICE","POLREPRES","PC","A","2017",47.6,
"ISL","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"IRL","WOMENPOLVOICE","POLREPRES","PC","A","2015",16.3,
"IRL","WOMENPOLVOICE","POLREPRES","PC","A","2017",22.2,
"IRL","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"ITA","WOMENPOLVOICE","POLREPRES","PC","A","2015",31,
"ITA","WOMENPOLVOICE","POLREPRES","PC","A","2017",31,
"ITA","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"JPN","WOMENPOLVOICE","POLREPRES","PC","A","2015",9.5,
"JPN","WOMENPOLVOICE","POLREPRES","PC","A","2017",9.3,
"JPN","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"KOR","WOMENPOLVOICE","POLREPRES","PC","A","2015",16.3,
"KOR","WOMENPOLVOICE","POLREPRES","PC","A","2017",17,
"KOR","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"LUX","WOMENPOLVOICE","POLREPRES","PC","A","2015",28.3,
"LUX","WOMENPOLVOICE","POLREPRES","PC","A","2017",28.3,
"LUX","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"MEX","WOMENPOLVOICE","POLREPRES","PC","A","2015",42.4,
"MEX","WOMENPOLVOICE","POLREPRES","PC","A","2017",42.6,
"MEX","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"NLD","WOMENPOLVOICE","POLREPRES","PC","A","2015",37.3,
"NLD","WOMENPOLVOICE","POLREPRES","PC","A","2017",38,
"NLD","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"NZL","WOMENPOLVOICE","POLREPRES","PC","A","2015",31.4,
"NZL","WOMENPOLVOICE","POLREPRES","PC","A","2017",34.2,
"NZL","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"NOR","WOMENPOLVOICE","POLREPRES","PC","A","2015",39.6,
"NOR","WOMENPOLVOICE","POLREPRES","PC","A","2017",39.6,
"NOR","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"POL","WOMENPOLVOICE","POLREPRES","PC","A","2015",27.4,
"POL","WOMENPOLVOICE","POLREPRES","PC","A","2017",28,
"POL","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"PRT","WOMENPOLVOICE","POLREPRES","PC","A","2015",34.8,
"PRT","WOMENPOLVOICE","POLREPRES","PC","A","2017",34.8,
"PRT","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"SVK","WOMENPOLVOICE","POLREPRES","PC","A","2015",18.7,
"SVK","WOMENPOLVOICE","POLREPRES","PC","A","2017",20,
"SVK","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"ESP","WOMENPOLVOICE","POLREPRES","PC","A","2015",41.1,
"ESP","WOMENPOLVOICE","POLREPRES","PC","A","2017",39.1,
"ESP","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"SWE","WOMENPOLVOICE","POLREPRES","PC","A","2015",43.6,
"SWE","WOMENPOLVOICE","POLREPRES","PC","A","2017",43.6,
"SWE","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"CHE","WOMENPOLVOICE","POLREPRES","PC","A","2015",32,
"CHE","WOMENPOLVOICE","POLREPRES","PC","A","2017",32.5,
"CHE","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"TUR","WOMENPOLVOICE","POLREPRES","PC","A","2015",14.9,
