,Country,year,gdp,gdp_pro_capita,labour_percentage,gender_gap,hdi,name
5,Afghanistan,2015,20.22,599.349,24.6194238585394,,0.5,Sonita Alizadeh
6,Afghanistan,2015,20.22,599.349,24.6194238585394,,0.5,Tahmina Kohistani
7,Albania,2015,11.389,3953.611,71.0720897889976,0.701,0.788,
8,Algeria,2015,165.979,4153.322,23.7855454152953,0.632,0.74,
9,Angola,2015,116.194,4354.921,96.1572482719339,0.637,0.572,Isabel dos Santos
10,Antigua and Barbuda,2015,1.337,14696.894,..,,0.762,
11,Argentina,2015,642.464,14895.316,65.7538015341947,0.7340000000000001,0.84,Cecilia Bouzat
12,Argentina,2015,642.464,14895.316,65.7538015341947,0.7340000000000001,0.84,Estela de Carlotto
13,Armenia,2015,10.553,3529.026,73.2652409699163,0.6679999999999999,0.768,
14,Aruba,2015,2.691,24641.637,..,,,
15,Australia,2015,1234.821,51483.951,83.0853458753558,0.733,0.938,Leimin Duong
16,Australia,2015,1234.821,51483.951,83.0853458753558,0.733,0.938,Ella Ingram
17,Australia,2015,1234.821,51483.951,83.0853458753558,0.733,0.938,Nikita Ridgeway
18,Austria,2015,382.01,44267.796,82.6488902577635,0.733,0.915,Antonia Albert
19,Azerbaijan,2015,50.844,5300.136,91.0308680546877,0.675,0.744,
20,Bahamas (the),2015,11.711,32154.952,85.4994492265619,0.728,0.808,
21,Bahrain,2015,31.051,22659.374,50.3448267092649,0.644,0.848,
22,Bangladesh,2015,195.147,1220.759,40.2662012410128,0.7040000000000001,0.595,
23,Barbados,2015,4.715,16589.45,88.5500637886333,0.7440000000000001,0.809,
24,Belarus,2015,56.329,5941.24,82.6264596040928,0.7340000000000001,0.814,
25,Belgium,2015,462.383,41147.261,81.1971608950826,0.753,0.922,
26,Belize,2015,1.724,4680.257,60.4878079503352,0.6679999999999999,0.71,
27,Benin,2015,11.389,1076.907,93.2614991453745,0.625,0.532,
28,Bhutan,2015,1.974,2784.445,80.261710306419,0.6459999999999999,0.628,
29,Bolivia (Plurinational State of),2015,33.241,3050.646,68.2975777844586,0.7490000000000001,0.697,
30,Bosnia and Herzegovina,2015,16.21,4727.261,62.2852225512052,,0.761,
31,Botswana,2015,14.445,6538.621,83.6080314748367,0.71,0.717,
32,Brazil,2015,1800.046,8846.478,70.8084413328642,0.6859999999999999,0.756,Bel Pesce
33,Brazil,2015,1800.046,8846.478,70.8084413328642,0.6859999999999999,0.756,Lorrana Scarpioni
34,Brunei Darussalam,2015,12.931,31355.736,79.365077376549,0.684,0.838,
35,Bulgaria,2015,50.63,7077.437,80.8779512525578,0.722,0.809,
36,Burkina Faso,2015,11.833,653.393,77.3251912637616,0.6509999999999999,0.422,Alimata Bara
37,Burundi,2015,3.255,318.992,103.787286934805,0.748,0.437,
38,Cabo Verde,2015,1.597,2996.379,74.5594905026424,0.7170000000000001,0.656,
39,Cambodia,2015,18.083,1165.06,85.45956592054,0.662,0.57,
40,Cameroon,2015,30.932,1338.603,87.1857704640375,0.682,0.549,
41,Canada,2015,1556.508,43626.47,86.2875799358166,0.74,0.921,Cristina Randall
42,Central African Republic (the),2015,1.696,377.476,79.5233938724184,,0.375,Marie-Ange Zimndou Koutou
43,Chad,2015,10.952,776.105,81.7123099217475,0.58,0.398,
44,Chile,2015,243.907,13571.923,67.0594558468204,0.698,0.842,Paula Escobar
45,China,2015,11113.528,8084.8,81.0548149814935,0.682,0.739,Zihan Ling
46,China,2015,11113.528,8084.8,81.0548149814935,0.682,0.739,Li Tingting
47,China,2015,11113.528,8084.8,81.0548149814935,0.682,0.739,Xian Xu
48,Colombia,2015,293.493,6088.678,71.2909916036665,0.725,0.756,
49,Comoros (the),2015,0.966,1231.135,58.8059723087143,,0.545,
50,Congo (the Democratic Republic of the),2015,37.915,435.979,91.4893666882151,,0.464,Naomi Bya’Ombe
51,Congo,2015,11.891,2873.72,94.1053832256631,,0.58,
52,Costa Rica,2015,55.41,11422.598,64.0571236013324,0.732,0.797,
53,Croatia,2015,49.531,11781.783,78.6716252789944,0.708,0.84,
54,Cyprus,2015,19.781,23354.312,85.8371656624069,0.6709999999999999,0.865,
55,Czech Republic,2015,188.033,17842.868,75.3406566577953,0.687,0.891,
56,Côte d'Ivoire,2015,45.815,1932.222,66.1710037174721,,,
57,Denmark,2015,302.673,53478.495,86.1685940600312,0.767,0.933,
58,Djibouti,2015,2.43,2516.859,72.3810915110785,,0.499,
59,Dominica,2015,0.541,7645.438,..,,0.739,
60,Dominican Republic (the),2015,71.254,7139.507,63.5862634515512,0.6859999999999999,0.738,
61,Ecuador,2015,99.29,6099.351,64.3465385352691,0.738,0.764,
62,Egypt,2015,332.075,3731.177,30.6108561275464,0.599,0.691,Nawal el-Sadaawi
63,El Salvador,2015,23.438,3705.578,59.989373777503,0.706,0.668,
64,Equatorial Guinea,2015,13.185,11217.985,81.0113508470844,,0.589,
65,Eritrea,2015,2.016,603.193,82.6061977137919,,0.454,
66,Estonia,2015,23.06,17531.057,80.5379809868719,0.7490000000000001,0.877,
67,Eswatini,2015,4.075,,,,,
68,Ethiopia,2015,63.081,702.767,84.225639691504,0.64,0.462,Misraa Jimaa
69,Fiji,2015,4.682,5385.516,52.0379019680253,0.645,0.737,
70,Finland,2015,234.558,42867.09,89.1492802498915,0.85,0.93,
71,France,2015,2439.436,37937.861,83.7124940768744,0.7609999999999999,0.895,Elsa Prieto
72,France,2015,2439.436,37937.861,83.7124940768744,0.7609999999999999,0.895,Meryl Benitah
73,France,2015,2439.436,37937.861,83.7124940768744,0.7609999999999999,0.895,Aissa Edon
74,Gabon,2015,14.385,7453.114,71.1918272252523,,0.685,
75,Gambia (the),2015,1.355,649.511,74.6169763925977,0.674,0.471,Fatou Bensouda
76,Georgia,2015,14.953,4017.622,72.985668202791,0.687,0.79,
77,Germany,2015,3357.926,41107.222,82.2087767125481,0.779,0.938,Uta Frith
78,Germany,2015,3357.926,41107.222,82.2087767125481,0.779,0.938,Jana Tepe
