,id,name,number_tweets_pre_ranking,number_tweets_post_ranking
0,3TG,Sonita Alizadeh,26,374
1,Vui,Tahmina Kohistani,0,7
2,Emc,Bobbi Brown,1455,511
3,kcb,Megan Grano,32,24
4,xdL,Samantha John,19,16
5,36y,Amara Majeed,0,0
6,3Tz,Brit Morin,498,515
7,DPe,Delaney Osborne,0,0
8,NJF,Hilary Swank,999,1001
9,yze,Julie Sygiel,83,95
10,3BN,Isabel dos Santos,27,79
11,338,Cecilia Bouzat,0,0
12,Sdd,Estela de Carlotto,121,141
13,3PK,Leimin Duong,0,1
14,3Ui,Ella Ingram,2,12
15,3ZE,Nikita Ridgeway,1,2
16,tDe,Antonia Albert,0,1
17,3UJ,Bel Pesce,1016,781
18,Pbn,Lorrana Scarpioni,15,3
19,3Yq,Nicola Adams,20,22
20,EN9,Nicola Benedetti,925,605
21,eXE,Claire Fox,749,736
22,3UN,Melanie Goldsmith,3,5
23,kBt,Alice Gray,5,23
24,bTi,Michaela Hollywood,98,194
25,3Et,Dame Tina Lavender,54,15
26,Xgf,Jessy McCabe,75,98
27,bPW,Jenni Rhodes,0,0
28,CqU,Baroness Patricia Scotland,0,0
29,9pu,Sophie Walker,1530,1369
30,EEK,Alimata Bara,0,0
31,36n,Tin Tin Yu,0,1
32,PfD,Cristina Randall,0,0
33,hVf,Marie-Ange Zimndou Koutou,0,0
34,m8K,Paula Escobar,103,141
35,39e,Zihan Ling,0,0
36,39Z,Li Tingting,0,1
37,q5f,Xian Xu,0,0
38,wPw,Naomi Bya’Ombe,0,0
39,3RA,Nawal el-Sadaawi,0,0
40,4bG,Elissa Freiha,0,0
41,3G6,Misraa Jimaa,0,0
42,SiD,Xyza Bacani,1,12
43,6eJ,Elsa Prieto,0,1
44,yyz,Meryl Benitah,15,3
45,E44,Aissa Edon,0,5
46,PEx,Fatou Bensouda,46,75
47,P2B,Uta Frith,483,462
48,32o,Jana Tepe,0,0
49,Rhu,Ernestina Edem Appiah,0,0
50,CzF,Sara Jane Ho,7,18
51,vBN,Michelle Sun,26,20
52,vhF,Asha Bhosle,3324,1076
53,4Cf,Kamini Kaushal,4,14
54,FuQ,Rimppi Kumari,0,3
55,6cN,Sania Mirza,29169,20216
56,3Tz,Smriti Nagpal,0,22
57,8wE,Mumtaz Shaikh,0,0
58,3JS,Kanika Tekriwal,4,9
59,dEt,Niloufar Ardalan,51,1
60,3CS,Masoumeh Ataei,0,0
61,3rL,Monir Farmanfarmaian,0,8
62,3Qs,Nareen Shammo,24,28
63,AhL,Rivka Carmi,0,0
64,DJ7,Louise Schwartz,0,1
65,3X3,Linda Kwamboka,4,15
66,3JK,Catherine Mahugu,0,0
67,3Xy,Jana el-Hassan,33,57
68,iEi,Eveles Chimala,0,5
69,VFu,Paulina Arreola,50,69
70,PFu,Alina Gracheva,0,0
71,7RS,Rabia Salihu Said,5,2
