,id,name,age,username_twitter,hashtag,job,description,image,category,country,year,gdp,gdp_pro_capita,labour_percentage,gender_gap,percentuale_ministre,percentuale_parlamentari,hdi
123,36x,Scarlett Curtis,24.0,@scarcurtis,'',Writer/Campaigner,"Scarlett is co-founder of The Pink Protest, an online community of activists who supported the successful #FreePeriods campaign to get free menstrual products in schools in England.",https://c.files.bbci.co.uk/3EF1/production/_109131161_scarlett_curtis_300.jpg,creativity,United Kingdom of Great Britain and Northern Ireland (the),2019,"2830,764",42378.606,"85,37624834","0,767","21,7",0,"0,932"
124,vqY,Ella Daish,,@ella_daish,#EndPeriodPlastic #PlasticChallenge #EcoPeriodBox,Environmentalist,"Delivering post in rural Wales, Ella was shocked by the amount of discarded plastic on the streets.",https://c.files.bbci.co.uk/6601/production/_109131162_ella_daish_300.jpg,earth,United Kingdom of Great Britain and Northern Ireland (the),2019,"2830,764",42378.606,"85,37624834","0,767","21,7",0,"0,932"
125,unp,Sharan Dhaliwal,'',@sharandhaliwal_,'',Artist and writer,"British-Indian Sharan is founder and editor-in-chief of Burnt Roti magazine, focusing on mental and sexual health for young South Asians, and LGBTQ rights. Aided by crowdfunding, she published her first print issue in April 2016 and has since launched an online version.",https://c.files.bbci.co.uk/8D11/production/_109131163_sharan_dhaliwal_300.jpg,identity,United Kingdom of Great Britain and Northern Ireland (the),2019,"2830,764",42378.606,"85,37624834","0,767","21,7",0,"0,932"
126,39Q,Salwa Eid Naser,21.0,'',#Athletics #worldathletics #400m,Athlete,Salwa Eid Naser stunned the field in the 400m final in Doha this year by running faster than any woman has done for more than three decades.,https://c.files.bbci.co.uk/8F4C/production/_109148663_salwa_eid_nasser_300.jpg,sport,Nigeria,2019,"448,12",2229.854,"76,86945703","0,635",,50,"0,539"
127,ye6,Rana El Kaliouby,41.0,@kaliouby,@Affectiva #EmotionAI #Artificialintelligence #fintech  #IA #bigdata,AI pioneer,"Rana el Kaliouby is a pioneer of artificial emotional intelligence, or Emotion AI. Her start-up Affectiva has developed software that can understand emotions by analysing facial expressions through a camera.",https://c.files.bbci.co.uk/7606/production/_109141203_rana_el_kaliouby_300.jpg,knowledge,Egypt,2019,"302,335",3043.64,"25,93789456","0,629",,25,"0,707"
128,3Kg,Maria Fernanda Espinosa,55.0,@mfespinosaEC,@WHO #IWD2021 ,UN General Assembly,"When Maria Fernanda Espinosa became president of the UN General Assembly, she became only the fourth woman to hold the position in the body's history - and the first from Latin America and the Caribbean.",https://c.files.bbci.co.uk/DB31/production/_109131165_maria_espinosa_300.jpg,leadership,Ecuador,2019,"107,436",6221.667,"68,37278039","0,729",,25,"0,759"
129,Mkk,Lucinda Evans,47.0,@Sunbird_Khoisan,@BBCWorld #InternationalWomensDay #WomensDay,Women's rights activist ,"As South Africa faces rising rates of murder and rape against women and girls, Lucinda has emerged as a voice for women. She leads nationwide marches, rallying thousands of women in the streets of Cape Town, challenging government to translate policy into action.",https://c.files.bbci.co.uk/B421/production/_109131164_lucinda_evans_300.jpg,identity,South Africa,2019,"351,354",5977.954,"78,83942599","0,78",,25,"0,709"
130,FTH,Sister Gerard Fernandez,81.0,'',#religiouslife #compassion #BBC #Singapore,Roman Catholic nun,"Sister Gerard is a Roman Catholic nun in Singapore, who worked for three decades as a death row counsellor.",https://c.files.bbci.co.uk/10241/production/_109131166_sister_gerard_fernandez_300.jpg,leadership,Singapore,2019,"372,066",65233.88,"79,05759389","0,724",,50,"0,938"
131,aJc,Bethany Firth,23.0,@BethanyFirth2,'',Paralympic swimmer,"Overcoming a fear of water after falling into an adult pool as a toddler, Bethany Firth burst onto the swimming scene at the London 2012 Paralympics. Bethany, who has learning disabilities, is now a four-time Paralympic gold medallist and multiple world record holder, and was Britain's most decorated athlete at the Rio 2016 Paralympics.",https://c.files.bbci.co.uk/13596/production/_109145297_bethany_firth_300.jpg,sport,United Kingdom of Great Britain and Northern Ireland (the),2019,"2830,764",42378.606,"85,37624834","0,767","21,7",0,"0,932"
132,vVT,Owl Fisher,28.0,@UglaStefania,#LGBTQIA #SexNotGender,Transgender activist ,"Owl - aka Ugla Stefanía Kristjönudóttir Jónsdóttir - is a journalist, writer and trans campaigner. They are the co-director of My Genderation, a film project focusing on trans lives and trans experiences.",https://c.files.bbci.co.uk/12951/production/_109131167_owl_fisher_300.jpg,identity,Iceland,2019,"24,224",67857.184,"89,45088673","0,877",40,0,"0,949"
