,id,name,age,username_twitter,hashtag,job,description,image,category,country,year,gdp,gdp_pro_capita,labour_percentage,gender_gap,percentuale_ministre,percentuale_parlamentari,hdi
66,3JK,Catherine Mahugu,27.0,@catherinemahugu,#Entrepreneur #OYW2019,Entrepreneur,"The founder of Soko, an e-commerce platform which allows local artisans to sell handcrafted jewellery directly to the consumer. Her aim is to promote direct trade between African designers and customers worldwide. Catherine features in our '30 under 30' strand.",,,Kenya,2015,"64,235",1483.484,"91,0443891","0,719",,,"0,587"
67,3Xy,Jana el-Hassan,30.0,@Janaelhassan,,Novelist,"An emerging young voice from the Middle East, Jana shook off the constraints of her rural background to publish her first novel Forbidden Desires in 2009 and won the local Simon Hayek Prize. Both of her later novels were shortlisted for the International Prize for Arab Fiction in 2013 and 2015. Her work is being translated into English and Italian.",,,Lebanon,2015,"49,939",7644.545,"31,58928345","0,598",,,"0,744"
68,iEi,Eveles Chimala,29.0,,#100Women #midwife,Midwife,"After working in one of the busiest hospitals in Malawi, Eveles decided to go back to studying to help her country tackle its high maternal mortality rate. She studies the partograph - a tool designed to help midwives in under-resourced hospitals in Africa monitor women as they give birth. Eveles features in our coverage focusing on nursing across the world.",,,Malawi,2015,"6,402",353.507,"88,37124721","0,701",,,"0,468"
69,VFu,Paulina Arreola,24.0,@pauarreola,#paulinaarreola,Entrepreneur,"Paulina is CEO and co-founder of Lavadero in Mexico City, which collects dirty washing. The company either washes or dry cleans the items before delivering them back to the customer. Paulina features in our '30 under 30' strand.",,,Mexico,2015,"1171,87",9616.666,"55,53867593","0,699","17,6","42,4","0,766"
70,PFu,Alina Gracheva,45.0,,,Camerawoman,"Alina found herself in a very male-dominated environment when she started her career as a camerawoman 15 years ago. She has covered Chechnya, Afghanistan, Iraq and the Beslan school siege, and now works for Al-Jazeera.",,,Moldova (the Republic of),2015,"7,726",2715.782,"87,32543784","0,742",,,"0,736"
71,7RS,Rabia Salihu Said,52.0,@rabia_phy,,Physicist,"Rabia is a physicist who has been involved for the last 30 years with national and local projects which encourage young people to enter the field of science. A mother of six, she received the Elsevier award in 2015 for her work on climate and deforestation.",,,Nigeria,2015,"492,437",2718.586,"82,92310066","0,638",,,"0,526"
72,Fa9,Ayesha Ishtiaq,17.0,,#AyeshaIshtiaq,Schoolgirl,Ayesha is a Year 12 student from Islamabad who is passionate about tackling the sexism she sees in her society. She conducts feminist and human rights talks with friends and plans to study journalism or women's studies in the US before returning to Pakistan to help others. Ayesha appears in our 'Good girl' film-makers strand.,,,Pakistan,2015,"270,17",1422.923,"29,51874313","0,559",,,"0,536"
73,4Vm,Muniba Mazari,28.0,@muniba_mazari,#MunibaMazari,Artist and anchorwoman,"Muniba, who lost the use of her legs in a car accident seven and a half years ago, is Pakistan's first wheelchair-bound model and the first wheelchair-bound anchor working for the country’s state channel. She began painting while still in hospital and hopes to spread the message of hope through her work.",,,Pakistan,2015,"270,17",1422.923,"29,51874313","0,559",,,"0,536"
74,jTu,Azza Jadalla,27.0,,,Nurse,"Azza is one of the youngest heads of a hospital ward in Gaza City's Shifa practice. The daily challenges of life in Gaza, including electricity cuts and chronic shortages, make her job in the haematology ward especially tough. Azza features in our coverage focusing on nursing across the world.",,,"Palestine, State of",2015,"13,972",1373.0,"25,46979006",,,,"0,701"
75,jMe,Rasha Shehada,29.0,,#BBC,Manufacturing director,"The managing director of Diamond Line FZE, a family-owned hotel equipment supplies business in the UAE. The company started specialising in hotel supplies and now also has a manufacturing plant which produces chafing fuels which can be burned in small canisters and used for heating food. Rasha features in our '30 under 30' strand.",,,"Palestine, State of",2015,"13,972",1373.0,"25,46979006",,,,"0,701"
76,GJD,Zuzanna Stanska,27.0,@zstanska,#BBC #dailyart,Entrepreneur,"Zuzanna runs a creative consultancy for cultural institutions and museums that allows visitors to interact with the art on display via a mobile app. She is also the creator of another app, DailyArt, which gives the user a chance to learn about one art masterpiece a day. Zuzanna features in our '30 under 30' strand.",,,Poland,2015,"477,582",12566.085,"74,84266643","0,715","27,8","27,4","0,863"
77,TGs,Irina Polyakova,54.0,,,Paralympian,"Three-times world champion in skiing, including gold medal winner at the Winter Paralympics in 2006 for the cross-country event. Irina is also a medal winner for swimming, biathlon and arm wrestling, and works as a coach.",,,Russian Federation (the),2015,"1356,703",9257.93,"77,89163861","0,694",,,"0,809"
78,eFt,Lubov Russkina,22.0,,#100Women,Nomad,"Lubov lives in Surgut, Siberia, and is part of a reindeer nomad tribe that has been in the area since ancient times. Lubov is now facing a common decision that many young girls in her tribe have to confront - to stay as a nomad or to leave for a more urban life. Lubov appears in our 'Good girl' film-makers strand.",,,Russian Federation (the),2015,"1356,703",9257.93,"77,89163861","0,694",,,"0,809"
79,3JU,Somayya Jabarti,44.0,,#SaudiGazette #somayya_jabarti,Newspaper editor,"Somayya leads the Saudi Gazette, a Jeddah-based English daily, as Saudi Arabia's first ever female editor in chief. It is rare for female journalists to be promoted to such a public position in Saudi Arabia. When she took the job, she said that ""there's a crack that has been made in the glass ceiling. And I'm hoping it will be made into a door"". Somayya took part in our 'Is media failing women?' debate.",,,Saudi Arabia,2015,"654,27",21063.307,"27,93562869","0,605",,,"0,859"
80,9fv,Rotana Tarabzouni,26.0,,#rotanatarabzouni,Singer/songwriter,"Rotana came to international prominence two years ago when she leant her voice to the Women's Driving Campaign in Saudi Arabia. Currently living in LA, she sings about the challenges back in Saudi, and the Arab world generally, and is planning to soon go home to face up to her critics.",,,Saudi Arabia,2015,"654,27",21063.307,"27,93562869","0,605",,,"0,859"
81,Ebu,Nemata Majeks-Walker,68.0,,#100women #100women #SierraLeone ,Activist,"In 2001, Nemata founded the 50/50 Group of Sierra Leone which encourages and empowers the country’s women to participate in politics. The organisation became the first African group to win the coveted Madeleine Albright Award, in 2007.",,,Sierra Leone,2015,"4,252",592.903,"96,15773715",,,,"0,431"
82,3J4,Pauline Ng,29.0,@paulineng,,Entrepreneur,Pauline teamed up with her mother in 2009 to set up an award-winning facial spa called Porcelain. It encourages customers to stop wearing foundation so their skin can breathe. Pauline appears in our '30 under 30' strand.,,,Singapore,2015,"307,999",55645.607,"78,84324498","0,711",,,"0,931"
83,ELY,Lizanne Teo,24.0,,#LizanneTeo,Entrepreneurs,"Lizanne is the co-founder of Upsurge, an events company specialising in rock concerts. Upsurge handles every aspect of the business, from logistics and operations to production and public relations, despite being a start-up with limited financial resources. Lizanne appears in our '30 under 30' strand.",,,Singapore,2015,"307,999",55645.607,"78,84324498","0,711",,,"0,931"
84,3P5,Nkosazana Dlamini-Zuma,66.0,@DlaminiZuma,#TobaccoBan,"Chair, African Union Commission","A trained medical doctor, Nkosazana is the chairwoman of the African Union Commission based in Addis Ababa, Ethiopia. Initially an ANC activist who spent some of the apartheid years in exile, she went on to enter politics, joining the AU in 2012 and is the first woman to head the organisation.",,,South Africa,2015,"317,578",5731.725,"77,69956967","0,759",,,"0,701"
85,Eer,Lt Cdr Zimasa Mabela,38.0,,#WomenMeanBusiness,Naval captain,"Zimasa grew up in the rural Eastern Cape of South Africa and did not see the sea until she was 18 years old. Inspired by a navy presentation at university, she applied for and won her first job as a radio control official in 1999. She lives in Cape Town.",,,South Africa,2015,"317,578",5731.725,"77,69956967","0,759",,,"0,701"
86,pR3,Karabo Mathang,28.0,,#KaraboMathang,Entrepreneur,Karabo is South Africa's first female Fifa-accredited soccer agent. She founded P Management to scout for amateur talents and help them to win professional contracts. Karabo features in our '30 under 30' strand.,,,South Africa,2015,"317,578",5731.725,"77,69956967","0,759",,,"0,701"
87,qTv,Verashni Pillay,31.0,@verashni,,Newspaper editor,"Verashni is editor in chief of the Mail & Guardian, South Africa's premier independent investigative publication. She has also received the CNN African Journalism Award, a Standard Bank Sikuvile Award and an Open Society Foundation journalism fellowship. Verashni took part in our 'Is media failing women?' debate.",,,South Africa,2015,"317,578",5731.725,"77,69956967","0,759",,,"0,701"
88,ESQ,Claire Reid,29.0,,#womenmeanbusiness,Entrepreneur,Claire designed Reel Gardening in a bid to simplify gardening. The company provides biodegradable strips which anchor the seeds at the correct depth and distance apart and so just need to be planted and watered. Claire appears in our '30 under 30' strand.,,,South Africa,2015,"317,578",5731.725,"77,69956967","0,759",,,"0,701"
89,kyg,Alek Wek,38.0,,#alekwek,Model/UN ambassador,"One of the world’s most recognisable models, Alek grew up during the Second Sudanese civil war before her family sought refuge in Britain in the 1990s. She pursued a career in modelling and quickly rose to the top of her profession. As UN goodwill ambassador she makes regular trips to South Sudan's refugee camps. Alek features in our '100 Women interviews' strand.",,,Sudan (the),2015,"65,266",1698.077,"41,27075801",,,,"0,504"
90,huB,Emi Mahmoud,22.0,@EmiThePoet,#WorldRefugeeDay,Poet,"A poet and activist originating from Darfur, Emi Mahmoud is the reigning World Poetry Slam Champion of 2015. Emi is in her final year at Yale University studying anthropology and molecular biology. Her goal is to alleviate structural disparities in maternal and child health and to empower women across the world through poetry and the power of voice.",,,Sudan (the),2015,"65,266",1698.077,"41,27075801",,,,"0,504"
91,6tk,Katrine Marcal,32.0,@katrinemarcal,#feministeconomics,Economist,"Katrine is the author of Who Cooked Adam Smith's Dinner?, a feminist view of economics, shortlisted for the August Prize and the winner of the Lagercrantzen Award. She is also the lead editorial writer for the Swedish newspaper Aftonbladet.",,,Sweden,2015,"505,104",51274.278,"90,11135858","0,823","52,2","43,6","0,938"
92,38V,Muzzon al-Mellehan,17.0,,#100women,Campaigner,"Muzzon fled with her parents and three younger siblings to Jordan in 2013, and lives in al-Azraq refugee camp. She has been dubbed the 'Malala of Syria' for her campaign to keep Syrian girls like her in the camp’s makeshift school, rather than being married off.",,,Syrian Arab Republic,2015,14,1061.0,"19,30444222","0,568",,,"0,537"
93,xpk,Siba Alaradi,27.0,,#100women #Syria,"Structural engineer, now volunteer","Siba and her family fled from war-torn Damascus to Istanbul. She often felt lonely and disheartened until she heard about a community centre in Istanbul for people displaced by the war in Syria. Working with the children there has given Siba, a structural engineer who graduated from Damascus University, an opportunity to give something back and be part of a diverse and supportive community.",,,Syrian Arab Republic,2015,14,1061.0,"19,30444222","0,568",,,"0,537"
94,WZp,Nour,,,,Refugee,"One of three sisters who have lived in Raqqa, Syria, all of their lives, including during its recent rule by the so-called Islamic State. Nour (not her real name) escaped Raqqa in recent weeks, leaving her elder and younger sisters behind, and has explained to us about the pressures on girls under the extremist group’s rule. Nour appears in our 'Good girl' film-makers strand.",,,Syrian Arab Republic,2015,14,1061.0,"19,30444222","0,568",,,"0,537"
95,Qst,Sana Ben Ashour,60.0,,,Civil society activist,"Sana founded women's shelter BEITY (Arabic for My Home) in 2012, motivated by the need for justice and equality for women in her society. It is a unique association in Tunisia that helps single mothers and other women in need, including victims of poverty and domestic violence.",,,Tunisia,2015,"43,172",3829.495,"37,18281529","0,634",,,"0,729"
96,3VP,Amina Sboui,21.0,,#Sboui,Writer and activist,"Amina made headlines in 2013 by publishing a topless photograph of herself on Facebook with “my body belongs to me and is not the source of anyone’s honour” written across her torso. After being jailed for feminist graffiti Amina went to Paris to study. She has recently returned to Tunisia, where she edits and publishes a feminist magazine.",,,Tunisia,2015,"43,172",3829.495,"37,18281529","0,634",,,"0,729"
97,aN2,Victoria Alonsoperez,28.0,@vic_alonsoperez,#BBC @TheIET,Entrepreneur,"After studying space engineering she became one of the founders of ieeTECH, which looks for engineering solutions to agricultural problems. The company uses satellites to monitor tagged cattle so farmers can track livestock and detect signs of disease. Victoria appears in our '30 under 30' strand.",,,Uruguay,2015,"53,275",15365.956,"74,15192635","0,679",,,"0,806"
98,uoh,Massiel Chávez,15.0,,,Schoolgirl,"Massiel wants to be a vet when she is older and is a keen user of social media. Now that she is 15 - traditionally considered the start of adulthood in Latin America - she is excited she will be allowed to paint her nails, wear make-up, and, she hopes, go out to parties alone. Massiel appears in our 'Good girl' film-makers strand.",,,Venezuela (Bolivarian Republic of),2015,"323,595",10568.1,"63,78147299","0,691",,,"0,769"
99,q58,Neyda Rojas,52.0,,,Nun,"Venezuela has some of the most understaffed, under-resourced and overcrowded jails in the world, and Neyda has been visiting them for 17 years. She is known as ‘the white drop’ - a reference to her nun’s habit. In addition to teaching history and maths to the inmates, she has been involved in kidnapping mediation, delivering babies, and helping the sick.",,,Venezuela (Bolivarian Republic of),2015,"323,595",10568.1,"63,78147299","0,691",,,"0,769"
100,3GM,Precious Adams,25.0,,,Ballet dancer,"Precious Adams spent so much time dancing round the living room as a child, that her mum signed her up for dance lessons. She trained at several top ballet schools, including the National Ballet School of Canada, the Princess Grace Academy in Monaco and the Bolshoi Ballet Academy in Moscow.",https://c.files.bbci.co.uk/16690/production/_109129719_precious_adams_300.jpg,creativity,United States of America (the),2019,"21433,225",65253.518,"82,75258981","0,724","21,7",50,"0,926"
101,3JB,Parveena Ahanger,59.0,,#StandWithKashmir #100Women #FreeKashmir,Human rights activist,"Parveena is known as the ""Iron lady of Kashmir"". Her teenage son disappeared in 1990, at the height of an uprising against Indian rule in Kashmir. ",https://c.files.bbci.co.uk/31F8/production/_109129721_parveena_ahangar_300.jpg,identity,India,2019,"2868,93",2097.782,"27,38409038","0,668",,25,"0,645"
102,3Ma,Piera Aiello,52.0,@aiello_piera,#PieraAiello #Mafia #antimafianewmedia,Politician,"Known as Italy's ""ghost"" politician, Piera Aiello ran for office with her face covered by a veil due to threats from the mafia. In 2018, after winning her seat as an anti-mafia candidate, she finally revealed her face to the public.",https://c.files.bbci.co.uk/C066/production/_109145294_piera_aiello_300.jpg,identity,Italy,2019,"2001,466",33159.068,"69,39742507","0,707","27,8",0,"0,892"
103,hGA,Jasmin Akter,18.0,@Jazz_Akter,#inspiringwomen #sport #WomensSports #WomensCricket #BBC100,Cricketer,"Jasmin is Rohingya, described by the UN as one of the most persecuted minorities in the world. She was born in a refugee camp in Bangladesh just after her father died.",https://c.files.bbci.co.uk/D814/production/_109161355_jasmin_akter_300.jpg,sport,Bangladesh,2019,"302,525",1816.035,"44,62028951","0,726",,25,"0,632"
