,id,name,age,username_twitter,hashtag,job,description,image,category,country,year,gdp,gdp_pro_capita,labour_percentage,gender_gap,percentuale_ministre,percentuale_parlamentari,hdi
133,StT,Shelly-Ann Fraser-Pryce,33.0,@realshellyannfp,#Caribbean,Athlete,"After storming to victory in 10.71 seconds at the women's 100m final in Doha in September 2019, Shelly-Ann Fraser-Pryce now boasts more 100m world championship titles than Usain Bolt.",https://c.files.bbci.co.uk/12B8C/production/_109148667_shelly_ann_fraser_pryce_300.jpg,sport,Jamaica,2019,"15,884",5826.09,"82,30475224","0,735",,50,"0,734"
134,KSr,Zarifa Ghafari,27.0,@Zarifa_Ghafari,#Afghan #IWOC #WomensHistoryMonth,Mayor,"At 26, Zarifa Ghafari is one of Afghanistan's first female mayors. The country's president appointed her mayor of Maidan Wardag, where support for the Taliban is widespread. She took the job despite it being too dangerous for her to live there - her office was mobbed by angry men on her first day. ",https://c.files.bbci.co.uk/690D/production/_109139862_zarifa_ghafari_300.jpg,leadership,Afghanistan,2019,"18,876",507.29,"29,20021633",,,25,"0,511"
135,BZu,Jalila Haider,31.0,@Advjalila,,Lawyer,"Human rights lawyer Jalila specialises in defending women's rights in Pakistan, and provides free legal services to women in poverty. ",https://c.files.bbci.co.uk/15061/production/_109131168_jalila_haider_300.jpg,leadership,Pakistan,2019,"276,114",1348.676,"26,47202531","0,564",,25,"0,557"
136,WQ5,Tayla Harris,22.0,@tayla_harris7,#TaylaHarris #FootballArt #GoTaylah #IWD2021 #IWD #WomenInSport,Footballer/boxer,"Tayla Harris is an Australian rules footballer playing for Carlton Football Club in the AFL Women's league, and a professional boxer.",https://c.files.bbci.co.uk/9D16/production/_109141204_tayla_harris_300.jpg,sport,Australia,2019,"1387,085",54348.227,"85,46935998","0,731","21,4",50,"0,944"
137,QK2,Hollie Daniels,36.0,@_holliedaniels_,#ASHE2019,Sex trafficking survivor,"Hollie is a survivor of sex trafficking from Columbus, Ohio, US. She was first sold by her mother at the age of 15 and was enslaved through drug-use for 17 years. With the help of an innovative court programme called CATCH Court - which spots criminals who are actually victims - she was able to escape in 2015. Most women who are sex trafficked in the US are branded with tattoos or scars and she has since transformed the tattoos on her own body. ",https://c.files.bbci.co.uk/11AFA/production/_109224427_hollie_300.jpg,identity,United States of America (the),2019,"21433,225",65253.518,"82,75258981","0,724","21,7",50,"0,926"
138,CM2,Huang Wensi,30.0,,#HuangWensi #womenleaders #femaleathletes,Professional boxer,"Huang Wensi, 29, is one of a small but growing number of female boxers in China.",https://c.files.bbci.co.uk/7246/production/_109145292_huang_wensi_300.jpg,sport,China,2019,"14401,726",10286.58,"80,06609183","0,676",,0,"0,761"
139,3XE,Luchita Hurtado,99.0,,#womensart,Artist,"This year, artist Luchita Hurtado landed her first solo show in a public gallery - at the age of 98.",https://c.files.bbci.co.uk/16263/production/_109132709_luchita_hurtado_300.jpg,creativity,Venezuela (Bolivarian Republic of),2019,"63,96",2299.308,"56,03045175","0,713",,0,"0,711"
140,gem,Yumi Ishikawa,32.0,@yumi_ishikawa11,#WomenPower,Founder #kutoo ,"Tired of the pain she suffered wearing heels eight hours a day at work, Yumi decided to vent her frustration on Twitter.",https://c.files.bbci.co.uk/DE3D/production/_109139865_yumi_ishikawa_300.jpg,identity,Japan,2019,"5079,916",40255.936,"74,67930907","0,652","5,3",50,"0,919"
141,zbC,Asmaa James,,@asmaakjames,#SierraLeone,Journalist/activist,"Through a career in journalism and community social work, Asmaa has become the voice of Sierra Leone's voiceless. ",https://c.files.bbci.co.uk/06BB/production/_109132710_asmaa_james_300.jpg,leadership,Sierra Leone,2019,"4,213",539.122,"98,74699697","0,668",,25,"0,452"
142,kXf,Aranya Johar,21.0,,#AranyaJohar,Poet,"Aranya uses beat poetry to address issues like gender equality, mental health and body positivity.",https://c.files.bbci.co.uk/2DCB/production/_109132711_aranya_johar_300.jpg,creativity,India,2019,"2868,93",2097.782,"27,38409038","0,668",,25,"0,645"
143,3JZ,Katrina Johnston-Zimmerman,,@think_katrina,#100Women,Anthropologist,"Katrina Johnston-Zimmerman is an urban anthropologist, working to make cities better places to live in.",https://c.files.bbci.co.uk/54DB/production/_109132712_katrina_johnston_zimmerman.jpg,earth,United States of America (the),2019,"21433,225",65253.518,"82,75258981","0,724","21,7",50,"0,926"
144,iAM,Gada Kadoda,,,#Sudan #BBC100women,Engineer,Dr Gada Kadoda helps women in remote areas use solar power to bring electricity to their villages by training them as community engineers.,https://c.files.bbci.co.uk/C426/production/_109141205_gada_kadoda_300.jpg,earth,Sudan (the),2019,"33,359",771.814,"43,10673961",,,25,"0,51"
145,39g,Amy Karle,,@amykarle,#bioart #Bioartist,Bioartist,"Born with a rare condition which left her with missing skin, Amy Karle grew up fascinated by the possibility of what the human body could be capable of with the right technology.",https://c.files.bbci.co.uk/7BEB/production/_109132713_amy_karle_300.jpg,knowledge,United States of America (the),2019,"21433,225",65253.518,"82,75258981","0,724","21,7",50,"0,926"
146,P3Q,Ahlam Khudr,,,#BlueForSudan #Sudanrevolution #bbcnews,Protest leader,"Self-proclaimed 'mother of all Sudanese martyrs', Ahlam's 17-year-old son was killed in a peaceful protest in 2013. Since then, Ahlam has dedicated her life to seeking justice for him, and fighting for the rights of those killed or 'disappeared' in Sudan. ",https://c.files.bbci.co.uk/10E86/production/_109145296_ahlam_khudr_300.jpg,leadership,Sudan (the),2019,"33,359",771.814,"43,10673961",,,25,"0,51"
147,TFv,Fiona Kolbinger,24.0,,#womenpower #womeninsports #cycling,Cyclist,"In 2019, cancer researcher Fiona Kolbinger became the first woman ever to win the Transcontinental Race - one of the world's toughest cycling races.",https://c.files.bbci.co.uk/A2FB/production/_109132714_fiona_kolbinger_300.jpg,sport,Germany,2019,"3861,55",46472.623,"82,95810294","0,787",40,50,"0,947"
148,BP7,Hiyori Kon,22.0,@hiyori_kon,#BBC100women #LittleMissSumo #femalesumowrestling #sumochampion,Sumo wrestler,"Hiyori Kon, 21, is a sumo wrestling prodigy in a country where women are still barred from competing professionally. ",https://c.files.bbci.co.uk/CA0B/production/_109132715_hiyori_kon_300.jpg,sport,Japan,2019,"5079,916",40255.936,"74,67930907","0,652","5,3",50,"0,919"
